Country Name,2015,2016,2017,2018,2019,2020
Nepal,901.7496077,899.523581,1048.453755,1178.525932,1194.956876,1155.142854
Netherlands,45175.23189,46007.85292,48554.99228,53018.62936,52295.03905,52304.05739
New Caledonia,..,..,..,..,..,..
New Zealand,38630.72659,40080.49411,42992.89527,43306.07,41999.36829,41791.79309
Nicaragua,2049.851666,2107.57406,2159.161926,2014.570287,1926.699694,1905.256756
Niger,484.2386326,498.1053379,517.9770442,572.4301385,553.8949553,565.0613331
Nigeria,2687.480056,2176.002772,1968.565398,2027.778549,2229.858652,2097.092473
North Macedonia,4843.492387,5132.997146,5432.414531,6087.468311,6022.24099,5888.004015
Northern Mariana Islands,16314.38355,21891.18479,27584.74351,22886.67405,20659.64029,..
Norway,74355.51586,70460.56053,75496.75406,82267.80932,75826.08188,67294.47698
Oman,16033.46383,14609.98176,15127.88819,16521.20623,15343.0435,..
Pakistan,1356.667831,1368.426961,1464.926195,1482.213067,1284.702047,1193.733397
Palau,15876.46193,16653.42589,16065.29283,15657.17715,14907.77735,..
Panama,13630.32287,14343.98139,15146.40237,15544.73352,15727.97449,12269.049
Papua New Guinea,2679.346579,2509.629637,2695.249009,2801.371393,2829.167085,2636.800249
Paraguay,5413.776021,5324.609068,5678.869972,5782.78455,5380.963322,4949.7497
Peru,6229.100674,6204.996457,6710.507602,6957.793411,7027.612207,6126.87454
Philippines,3001.043182,3073.654686,3123.245642,3252.110274,3485.340844,3298.829851
Poland,12578.49547,12447.43959,13864.68176,15468.40941,15694.84082,15656.18273
Portugal,19242.36647,19978.40121,21437.3475,23551.04829,23284.52723,22439.87687
Puerto Rico,29763.4883,30627.1634,31108.75275,31604.70151,32850.54861,32290.92114
Qatar,63039.11263,57162.96801,59124.86727,65907.94843,62087.97413,50805.46357
Romania,8969.148921,9548.587403,10807.00917,12398.98198,12889.80961,12896.08862
Russian Federation,9313.013625,8704.898413,10720.33266,11287.35528,11497.64925,10126.72179
Rwanda,751.0773926,744.7607488,772.3169891,783.6371628,820.1492886,797.8555543
Samoa,4073.729164,4109.059523,4259.634172,4188.571058,4324.101774,4067.47263
San Marino,42662.90265,43828.23246,45399.02906,48996.59225,47731.20854,..
Sao Tome and Principe,1584.775657,1700.097997,1813.807434,1953.513257,1987.579702,2157.840446
Saudi Arabia,20627.92693,19878.76384,20802.46631,23337.01755,23139.79798,20110.31619
Senegal,1219.249415,1269.903294,1361.701972,1458.069093,1430.148259,1487.757309
Serbia,5588.980728,5765.200762,6292.543629,7252.401858,7411.558649,7666.244476
Seychelles,14745.34146,15068.62035,15906.08391,16390.82491,16198.51748,11425.09293
Sierra Leone,588.2288628,501.4151655,499.3809746,533.9915333,527.5341745,484.5212675
Singapore,55646.61875,56848.17539,61176.45636,66679.04649,65640.70795,59797.75218
Sint Maarten (Dutch part),32274.89055,31616.6817,29369.05683,29160.10381,..,..
Slovak Republic,16310.98841,16508.67036,17504.21134,19364.6201,19273.25395,19156.88961
Slovenia,20881.76693,21663.64341,23454.73952,26103.16026,25940.72803,25179.66717
Solomon Islands,2167.119928,2225.486842,2332.844216,2411.862926,2344.231634,2258.400365
Somalia,293.4551719,295.9673926,309.0543803,314.542678,320.0381483,309.4154546
South Africa,5734.633422,5272.543648,6131.47945,6372.605655,6001.401121,5090.715025
South Sudan,1119.651437,..,..,..,..,..
Spain,25732.01836,26505.34322,28100.58624,30374.52104,29564.7449,27057.16352
Sri Lanka,3843.780672,3886.291502,4076.747003,4058.803511,3851.56099,3682.038425
St. Kitts and Nevis,18028.97343,18810.55938,19158.7448,19276.52127,19773.46237,17435.92743
St. Lucia,10093.61802,10361.58388,11047.44499,11357.82657,11611.09784,9276.117829
St. Martin (French part),..,..,..,..,..,..
St. Vincent and the Grenadines,6921.702479,7074.548765,7213.025857,7361.400962,7457.239776,7297.91235
Sudan,1656.905841,1325.156019,1103.000026,825.8689411,753.2821741,595.467833
Suriname,9168.237157,5872.789429,6295.560562,6938.086981,7261.16561,6491.139065
Sweden,51545.48361,51965.15715,53791.50873,54589.06039,51686.85135,51925.71376
Switzerland,84776.14217,83073.28008,83352.08865,86429.50082,85300.34797,86601.55641
Syrian Arab Republic,..,..,..,..,..,..
Tajikistan,978.4049812,807.1025861,848.6723799,853.2188734,890.5444024,859.1379611
Tanzania,947.9333517,966.5030166,1004.906588,1042.838759,1085.884861,1076.470385
Thailand,5840.053067,5993.305516,6593.818352,7296.879608,7817.011522,7189.041835
Timor-Leste,1332.791772,1353.746815,1286.406785,1230.22528,1560.508615,1381.17566
Togo,570.9099672,803.1518934,830.7452767,901.5230169,893.3524541,914.9505826
Tonga,4336.239603,4157.877249,4513.432531,4740.700272,4903.012138,..
Trinidad and Tobago,18214.46062,16250.62869,16173.74005,17037.86236,16637.16294,15384.03946
Tunisia,3861.6924,3697.938729,3481.241106,3438.805067,3351.573443,3319.819024
Turkey,11006.27952,10894.60338,10589.66772,9453.196172,9126.594392,8538.16906
Turkmenistan,6432.685325,6387.682575,6587.092604,6967.375043,7612.03518,..
Turks and Caicos Islands,26183.88504,28241.47929,27545.12879,29553.1367,31350.86663,23879.92665
Tuvalu,3197.772252,3253.899536,3574.065288,3701.709255,4055.89561,4143.109753
Uganda,843.6295453,733.3971317,746.8307512,770.2570601,794.4514454,817.0357569
Ukraine,2124.662319,2187.73051,2640.675677,3096.817402,3662.563087,3726.927149
United Arab Emirates,38663.4005,38141.86713,40644.79119,43839.32449,43103.33629,..
United Kingdom,45039.23595,41048.34966,40304.72308,42992.80372,42354.41465,40284.63846
United States,56863.3715,58021.4005,60109.65573,63064.41841,65279.52903,63543.57779
Uruguay,15613.74597,16715.63347,18690.89384,18703.86029,17688.01501,15438.41167
