,Happiness_Rank,Country,Region,Happiness_Score,GDP_hscore,LifeExp_hscore,Freedom_hscore,Generosity_hscore,Corruption_hscore,Year,Actual_CrimeRate,Actual_GDP,Actual_LifeExp
63,73,Belarus,Commonwealth of Independent States,5.483,1.039,0.7,0.307,0.101,0.154,2018,26.55,6330.075246,6330.075246
64,81,Belarus,Commonwealth of Independent States,5.323,1.067,0.789,0.235,0.094,0.142,2019,23.53,6839.103833,6839.103833
65,75,Belarus,Commonwealth of Independent States,5.539899826,1.018854499,0.75258857,0.290755868,0.08993306,0.193607435,2020,24.99,6411.227813,6411.227813
66,19,Belgium,Western Europe,6.937,1.30782,0.89667,0.5845,0.2225,0.2254,2015,42.04,40991.80814,40991.80814
67,18,Belgium,Western Europe,6.929,1.42539,0.81959,0.51354,0.2424,0.26248,2016,45.19,41984.10303,41984.10303
68,17,Belgium,Western Europe,6.890999794,1.463780761,0.818091869,0.539770722,0.231503338,0.251343131,2017,44.51,44089.31009,44089.31009
69,16,Belgium,Western Europe,6.927,1.324,0.894,0.583,0.188,0.24,2018,42.17,47554.74631,47554.74631
70,18,Belgium,Western Europe,6.923,1.356,0.986,0.473,0.16,0.21,2019,42.46,46414.43523,46414.43523
71,20,Belgium,Western Europe,6.863500118,1.295842767,0.964901149,0.499805421,0.146966159,0.208724052,2020,43.98,44594.37811,44594.37811
72,155,Benin,Sub-Saharan Africa,3.34,0.28665,0.3191,0.4845,0.1826,0.0801,2015,,1076.796702,1076.796702
73,153,Benin,Sub-Saharan Africa,3.484,0.39499,0.21028,0.39747,0.2018,0.06681,2016,,1087.287304,1087.287304
74,143,Benin,Sub-Saharan Africa,3.657000065,0.431085408,0.209930211,0.425962776,0.207948461,0.060929015,2017,,1136.59397,1136.59397
75,136,Benin,Sub-Saharan Africa,4.141,0.378,0.24,0.44,0.163,0.067,2018,,1240.830962,1240.830962
76,102,Benin,Sub-Saharan Africa,4.883,0.393,0.397,0.349,0.175,0.082,2019,,1219.515479,1219.515479
77,86,Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.328062952,0.40583989,0.196670428,0.125931874,2020,,1291.040962,1291.040962
78,51,Bolivia,Latin America and Caribbean,5.89,0.68133,0.5392,0.57414,0.20536,0.088,2015,65.6,3035.971655,3035.971655
79,59,Bolivia,Latin America and Caribbean,5.822,0.79422,0.4697,0.50961,0.21698,0.07746,2016,56.56,3076.656439,3076.656439
80,58,Bolivia,Latin America and Caribbean,5.822999954,0.833756566,0.47363025,0.558732927,0.225560725,0.060477726,2017,59.5,3351.124344,3351.124344
81,62,Bolivia,Latin America and Caribbean,5.752,0.751,0.508,0.606,0.141,0.054,2018,52.89,3548.59078,3548.59078
82,61,Bolivia,Latin America and Caribbean,5.779,0.776,0.706,0.511,0.137,0.064,2019,53.29,3552.068144,3552.068144
83,65,Bolivia,Latin America and Caribbean,5.747499943,0.730976343,0.662445664,0.5744645,0.138375074,0.072942637,2020,52.93,3143.045494,3143.045494
84,96,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.83223,0.79081,0.09245,0.24808,0.00227,2015,,4727.276333,4727.276333
85,87,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.70766,0.09511,0.29889,0.0,2016,,4994.68904,4994.68904
86,90,Bosnia and Herzegovina,Central and Eastern Europe,5.18200016,0.982409418,0.705186307,0.204403177,0.328867495,0.0,2017,,5394.579953,5394.579953
87,93,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,0.758,0.28,0.216,0.0,2018,,6072.184623,6072.184623
88,78,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,0.845,0.212,0.263,0.006,2019,,6120.112626,6120.112626
89,69,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922,0.91839546,0.813928187,0.305365741,0.264005244,0.001172487,2020,,6031.556869,6031.556869
90,128,Botswana,Sub-Saharan Africa,4.332,0.99355,0.04776,0.49495,0.10461,0.12474,2015,46.77,6799.870178,6799.870178
91,137,Botswana,Sub-Saharan Africa,3.974,1.09426,0.34752,0.44089,0.12425,0.10769,2016,,7243.933974,7243.933974
92,142,Botswana,Sub-Saharan Africa,3.766000032,1.122094154,0.341755509,0.505196333,0.099348448,0.098583199,2017,58.22,7893.418671,7893.418671
93,146,Botswana,Sub-Saharan Africa,3.59,1.017,0.417,0.557,0.042,0.092,2018,,8279.818457,8279.818457
94,148,Botswana,Sub-Saharan Africa,3.488,1.041,0.538,0.455,0.025,0.1,2019,,7970.796968,7970.796968
95,139,Botswana,Sub-Saharan Africa,3.478899956,0.997548997,0.494101733,0.50908941,0.033407487,0.101786368,2020,53.49,6710.990411,6710.990411
96,16,Brazil,Latin America and Caribbean,6.983,0.98124,0.69702,0.49049,0.14574,0.17521,2015,68.95,8814.001418,8814.001418
97,17,Brazil,Latin America and Caribbean,6.952,1.08754,0.61415,0.40425,0.15776,0.14166,2016,71.23,8710.096774,8710.096774
98,22,Brazil,Latin America and Caribbean,6.635000229,1.10735321,0.616552353,0.437453747,0.162349895,0.111092761,2017,70.62,9928.643063,9928.643063
99,28,Brazil,Latin America and Caribbean,6.419,0.986,0.675,0.493,0.11,0.088,2018,70.55,9151.445253,9151.445253
100,32,Brazil,Latin America and Caribbean,6.3,1.004,0.802,0.39,0.099,0.086,2019,70.24,8897.48777,8897.48777
101,32,Brazil,Latin America and Caribbean,6.375599861,0.952679873,0.766119063,0.483292729,0.131674588,0.106518604,2020,68.88,6796.844542,6796.844542
102,134,Bulgaria,Central and Eastern Europe,4.218,1.01216,0.76649,0.30587,0.11921,0.00872,2015,43.45,7055.935673,7055.935673
103,129,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.67806,0.21219,0.12793,0.00615,2016,41.42,7548.855007,7548.855007
104,105,Bulgaria,Central and Eastern Europe,4.714000225,1.161459088,0.70821768,0.289231718,0.113177694,0.011051531,2017,40.18,8334.081728,8334.081728
105,100,Bulgaria,Central and Eastern Europe,4.933,1.054,0.712,0.359,0.064,0.009,2018,39.7,9427.73043,9427.73043
106,97,Bulgaria,Central and Eastern Europe,5.011,1.092,0.815,0.311,0.081,0.004,2019,40.0,9828.148515,9828.148515
107,95,Bulgaria,Central and Eastern Europe,5.101500034,1.046554685,0.777776897,0.417820066,0.103833713,0.0,2020,38.5,9975.780001,9975.780001
108,152,Burkina Faso,Sub-Saharan Africa,3.587,0.25812,0.27125,0.39493,0.21747,0.12832,2015,,653.3272681,653.3272681
